Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2018;4;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2018;11;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;35.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2018;12;234.0;0.0;0.0;0.0;49.0;0.0;0.0;16.0;13.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;1;98.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;30.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;9.5;0.0;10.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;2;65.6;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;16.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;3;190.4;0.0;0.0;11.0;0.0;7.0;0.0;0.4;23.0;16.0;0.0;0.0;0.0;0.0;3.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;61.0;13.0;20.0;0.0;0.0;0.0;16.0;0.0;0.0;19.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;4;94.8;0.0;20.0;20.0;14.0;0.0;7.0;13.0;0.0;20.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2019;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;1;112.9;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;2;174.0;0.0;0.0;19.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;41.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;13.0;888.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;3;238.0;0.0;0.0;0.0;0.0;22.0;0.0;18.0;0.0;0.0;16.0;0.0;0.0;14.0;0.0;0.0;42.0;12.0;0.0;0.0;0.0;0.0;0.0;14.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;4;144.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;30.0;0.0;18.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;5;28.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Potengi;VILA ALECRIM;-7.0983333333333;-40.089111111111;2020;12;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
