Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;1;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;4.0;0.0;0.0;1.5;0.0;1.0;43.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;2;148.6;0.0;0.0;5.0;0.0;0.0;8.0;7.5;9.7;0.0;0.0;0.0;21.0;6.5;2.0;31.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.7;33.0;13.5;4.7;0.0;0.0;888.0;888.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;3;120.5;0.0;0.0;0.0;0.0;22.0;12.0;10.5;0.0;0.0;8.0;21.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;10.0;0.0;0.0;0.0;17.0;0.0;0.0;16.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;4;103.5;0.0;0.0;1.5;1.5;0.0;0.0;0.0;1.0;0.0;6.0;27.0;5.0;0.0;0.0;1.0;20.0;19.0;3.0;0.0;0.0;0.0;0.0;6.5;4.0;0.0;0.0;0.0;0.0;0.0;8.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;5;50.5;2.5;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;7;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2018;12;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;15.0;0.0;16.0;0.0;17.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;1;178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;8.0;20.0;0.0;0.0;0.0;29.0;0.0;3.0;0.0;36.5;33.5;16.5;11.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;2;96.5;0.0;0.0;0.0;0.0;29.0;0.0;3.5;2.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;8.0;3.5;0.0;0.0;0.0;7.5;0.0;5.0;14.5;0.0;0.0;0.5;19.5;888.0;888.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;3;270.5;0.0;0.0;5.0;0.0;2.0;13.5;11.5;46.0;0.0;10.5;0.0;10.5;13.5;7.0;16.0;7.5;0.0;1.5;0.0;37.0;14.5;33.0;0.0;0.0;5.0;7.0;15.0;0.5;5.0;0.0;9.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;4;158.5;40.0;16.0;0.0;0.0;7.5;0.0;0.0;0.0;17.5;0.0;0.0;10.0;0.0;4.0;2.0;4.0;8.0;0.0;14.5;3.0;0.0;9.0;0.0;1.0;7.0;0.0;0.5;0.0;1.5;13.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;5;92.5;19.0;16.5;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;4.5;0.0;0.0;2.0;0.0;0.0;0.0;1.5;0.0;0.0;43.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;6;34.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;7;5.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paramoti;JUREMA;-4.1685;-39.457222222222;2019;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
